epiweek,time_value,issue,geo_type,geo_value,sars-cov-2_tests,sars-cov-2_positive_tests,flu_tests,flu_positive_tests,flu_ah1pdm09_positive_tests,flu_ah3_positive_tests,flu_auns_positive_tests,flu_a_positive_tests,flu_b_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv_1_positive_tests,hpiv_2_positive_tests,hpiv_3_positive_tests,hpiv_4_positive_tests,hpiv_other_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests
202338,2023-09-23,2024-09-26,lab,eorla,777,93,469,0,0,0,0,0,0,469,7,39.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0,0.0,39.0,6.0,39.0,0.0
202338,2023-09-23,2024-09-26,lab,phol - kingston,217,86,100,0,0,0,0,0,0,100,0,64.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,0.0,64.0,20.0,64.0,0.0
202338,2023-09-23,2024-09-26,lab,phol - peterborough,48,19,86,0,0,0,0,0,0,86,2,52.0,0.0,0.0,0.0,0.0,1.0,52.0,0.0,52.0,0.0,52.0,5.0,52.0,0.0
202338,2023-09-23,2024-09-26,lab,phol - toronto,671,228,822,2,3,4,0,2,0,822,0,710.0,0.0,0.0,0.0,0.0,19.0,710.0,4.0,710.0,1.0,710.0,95.0,710.0,6.0
202338,2023-09-23,2024-09-26,lab,uhn / mount sinai hospital,896,84,761,1,0,0,1,1,0,761,1,68.0,1.0,1.0,1.0,0.0,0.0,68.0,0.0,68.0,0.0,68.0,4.0,68.0,0.0
202338,2023-09-23,2024-09-26,lab,sick kids hospital - toronto,169,13,159,0,0,0,0,0,0,159,1,159.0,1.0,2.0,0.0,0.0,0.0,159.0,1.0,159.0,0.0,159.0,38.0,159.0,0.0
202338,2023-09-23,2024-09-26,lab,shared hospital laboratory,1293,148,976,6,4,1,1,6,0,977,8,953.0,0.0,0.0,0.0,0.0,9.0,953.0,3.0,976.0,1.0,976.0,68.0,976.0,1.0
202338,2023-09-23,2024-09-26,lab,phol - hamilton,123,53,137,0,0,0,0,0,0,137,0,93.0,0.0,0.0,0.0,0.0,5.0,93.0,0.0,93.0,1.0,93.0,11.0,93.0,0.0
202338,2023-09-23,2024-09-26,lab,st. joseph's - hamilton,1526,176,1383,8,0,0,8,8,0,1383,6,1383.0,0.0,0.0,0.0,0.0,0.0,1383.0,5.0,1383.0,2.0,1383.0,121.0,0.0,0.0
202338,2023-09-23,2024-09-26,lab,phol - london,400,165,397,0,0,1,0,0,0,397,0,330.0,0.0,0.0,0.0,0.0,4.0,330.0,3.0,330.0,0.0,330.0,28.0,330.0,1.0
202338,2023-09-23,2024-09-26,lab,st. joseph's - london,577,98,56,1,0,0,1,1,0,56,0,56.0,0.0,0.0,0.0,0.0,0.0,56.0,1.0,56.0,1.0,56.0,6.0,46.0,1.0
202338,2023-09-23,2024-09-26,lab,phol - orillia,25,18,20,0,0,0,0,0,0,20,0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,9.0,2.0,9.0,0.0
202338,2023-09-23,2024-09-26,lab,phol - sudbury,8,4,9,0,0,0,0,0,0,9,0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0
202338,2023-09-23,2024-09-26,lab,phol - timmins,37,13,39,0,0,0,0,0,0,39,0,28.0,0.0,0.0,0.0,0.0,2.0,28.0,0.0,28.0,0.0,28.0,5.0,28.0,0.0
202338,2023-09-23,2024-09-26,lab,phol - sault ste. marie,2,0,8,0,0,0,0,0,0,8,0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0
